,DisplayName,Year,Genre,Location,Sales
0,"Wii Sports, Wii",2006.0,Sports,NA_Sales,41.49
1,"Super Mario Bros., NES",1985.0,Platform,NA_Sales,29.08
2,"Mario Kart Wii, Wii",2008.0,Racing,NA_Sales,15.85
3,"Wii Sports Resort, Wii",2009.0,Sports,NA_Sales,15.75
4,"Pokemon Red/Pokemon Blue, GB",1996.0,Role-Playing,NA_Sales,11.27
5,"Tetris, GB",1989.0,Puzzle,NA_Sales,23.2
6,"New Super Mario Bros., DS",2006.0,Platform,NA_Sales,11.38
7,"Wii Play, Wii",2006.0,Misc,NA_Sales,14.03
8,"New Super Mario Bros. Wii, Wii",2009.0,Platform,NA_Sales,14.59
10,"Nintendogs, DS",2005.0,Simulation,NA_Sales,9.07
11,"Mario Kart DS, DS",2005.0,Racing,NA_Sales,9.81
12,"Pokemon Gold/Pokemon Silver, GB",1999.0,Role-Playing,NA_Sales,9.0
13,"Wii Fit, Wii",2007.0,Sports,NA_Sales,8.94
14,"Wii Fit Plus, Wii",2009.0,Sports,NA_Sales,9.09
15,"Kinect Adventures!, X360",2010.0,Misc,NA_Sales,14.97
16,"Grand Theft Auto V, PS3",2013.0,Action,NA_Sales,7.01
17,"Grand Theft Auto: San Andreas, PS2",2004.0,Action,NA_Sales,9.43
18,"Super Mario World, SNES",1990.0,Platform,NA_Sales,12.78
19,"Brain Age: Train Your Brain in Minutes a Day, DS",2005.0,Misc,NA_Sales,4.75
20,"Pokemon Diamond/Pokemon Pearl, DS",2006.0,Role-Playing,NA_Sales,6.42
21,"Super Mario Land, GB",1989.0,Platform,NA_Sales,10.83
22,"Super Mario Bros. 3, NES",1988.0,Platform,NA_Sales,9.54
23,"Grand Theft Auto V, X360",2013.0,Action,NA_Sales,9.63
24,"Grand Theft Auto: Vice City, PS2",2002.0,Action,NA_Sales,8.41
25,"Pokemon Ruby/Pokemon Sapphire, GBA",2002.0,Role-Playing,NA_Sales,6.06
26,"Pokemon Black/Pokemon White, DS",2010.0,Role-Playing,NA_Sales,5.57
27,"Brain Age 2: More Training in Minutes a Day, DS",2005.0,Puzzle,NA_Sales,3.44
28,"Gran Turismo 3: A-Spec, PS2",2001.0,Racing,NA_Sales,6.85
29,"Call of Duty: Modern Warfare 3, X360",2011.0,Shooter,NA_Sales,9.03
30,"Pokémon Yellow: Special Pikachu Edition, GB",1998.0,Role-Playing,NA_Sales,5.89
31,"Call of Duty: Black Ops, X360",2010.0,Shooter,NA_Sales,9.67
32,"Pokemon X/Pokemon Y, 3DS",2013.0,Role-Playing,NA_Sales,5.17
33,"Call of Duty: Black Ops 3, PS4",2015.0,Shooter,NA_Sales,5.77
34,"Call of Duty: Black Ops II, PS3",2012.0,Shooter,NA_Sales,4.99
35,"Call of Duty: Black Ops II, X360",2012.0,Shooter,NA_Sales,8.25
36,"Call of Duty: Modern Warfare 2, X360",2009.0,Shooter,NA_Sales,8.52
37,"Call of Duty: Modern Warfare 3, PS3",2011.0,Shooter,NA_Sales,5.54
38,"Grand Theft Auto III, PS2",2001.0,Action,NA_Sales,6.99
39,"Super Smash Bros. Brawl, Wii",2008.0,Fighting,NA_Sales,6.75
40,"Call of Duty: Black Ops, PS3",2010.0,Shooter,NA_Sales,5.98
41,"Animal Crossing: Wild World, DS",2005.0,Simulation,NA_Sales,2.55
42,"Mario Kart 7, 3DS",2011.0,Racing,NA_Sales,4.74
43,"Halo 3, X360",2007.0,Shooter,NA_Sales,7.97
44,"Grand Theft Auto V, PS4",2014.0,Action,NA_Sales,3.8
45,"Pokemon HeartGold/Pokemon SoulSilver, DS",2009.0,Action,NA_Sales,4.4
46,"Super Mario 64, N64",1996.0,Platform,NA_Sales,6.91
47,"Gran Turismo 4, PS2",2004.0,Racing,NA_Sales,3.01
48,"Super Mario Galaxy, Wii",2007.0,Platform,NA_Sales,6.16
49,"Pokemon Omega Ruby/Pokemon Alpha Sapphire, 3DS",2014.0,Role-Playing,NA_Sales,4.23
50,"Super Mario Land 2: 6 Golden Coins, GB",1992.0,Adventure,NA_Sales,6.16
51,"Grand Theft Auto IV, X360",2008.0,Action,NA_Sales,6.76
52,"Gran Turismo, PS",1997.0,Racing,NA_Sales,4.02
53,"Super Mario 3D Land, 3DS",2011.0,Platform,NA_Sales,4.89
54,"Gran Turismo 5, PS3",2010.0,Racing,NA_Sales,2.96
55,"Call of Duty: Modern Warfare 2, PS3",2009.0,Shooter,NA_Sales,4.99
56,"Grand Theft Auto IV, PS3",2008.0,Action,NA_Sales,4.76
57,"Super Mario All-Stars, SNES",1993.0,Platform,NA_Sales,5.99
58,"Pokemon FireRed/Pokemon LeafGreen, GBA",2004.0,Role-Playing,NA_Sales,4.34
59,"Super Mario 64, DS",2004.0,Platform,NA_Sales,5.08
60,"Just Dance 3, Wii",2011.0,Misc,NA_Sales,6.05
61,"Call of Duty: Ghosts, X360",2013.0,Shooter,NA_Sales,6.72
62,"Halo: Reach, X360",2010.0,Shooter,NA_Sales,7.03
63,"Mario Kart 64, N64",1996.0,Racing,NA_Sales,5.55
64,"New Super Mario Bros. 2, 3DS",2012.0,Platform,NA_Sales,3.66
65,"Halo 4, X360",2012.0,Shooter,NA_Sales,6.63
66,"Final Fantasy VII, PS",1997.0,Role-Playing,NA_Sales,3.01
67,"Call of Duty: Ghosts, PS3",2013.0,Shooter,NA_Sales,4.09
68,"Just Dance 2, Wii",2010.0,Misc,NA_Sales,5.84
69,"Gran Turismo 2, PS",1999.0,Racing,NA_Sales,3.88
70,"Call of Duty 4: Modern Warfare, X360",2007.0,Shooter,NA_Sales,5.91
71,"Donkey Kong Country, SNES",1994.0,Platform,NA_Sales,4.36
72,"Minecraft, X360",2013.0,Misc,NA_Sales,5.58
73,"Animal Crossing: New Leaf, 3DS",2012.0,Simulation,NA_Sales,2.01
